"Taxon","Community: Sit1","Community: Sit2","Community: Sit3","Community: Sit4"
"<i>Agrostis canina</i>",0,9,0,0
"<i>Agrostis capillaris</i>",4,48,0,0
"<i>Alnus glutinosa</i>",0,0,0,1
"<i>Betula pubescens</i>",23,10,2,4
"<i>Calamagrostis canescens</i>",15,22,0,0
"<i>Calluna vulgaris</i>",2,0,9,0
"<i>Cardamine flexuosa</i>",48,0,1,2
"<i>Cardamine pratensis</i>",1,0,1,0
"<i>Carex nigra</i>",0,1,0,0
"<i>Carex pilulifera</i>",4,17,10,1
"<i>Carex remota</i>",7,6,1,2
"<i>Carex spp 1</i>",1,0,0,0
"<i>Carex spp 2</i>",4,2,0,1
"<i>Carex spp 3</i>",2,0,0,0
"<i>Carex sylvatica</i>",23,21,7,5
"<i>Centaurium erythraea</i>",2,0,0,0
"<i>Chenopodium polyspermum</i>",0,0,1,0
"<i>Cirsium arvense</i>",0,0,2,0
"<i>Cirsium palustre</i>",2,0,0,0
"<i>Conyza canadensis</i>",0,1,0,0
"<i>Deschampsia cespitosa</i>",70,23,8,20
"<i>Digitalis purpurea</i>",3,0,0,0
"<i>Epilobium ciliatum</i>",2,1,1,1
"<i>Epilobium montanum</i>",1,0,0,0
"<i>Eupatoriumorium cannabinum</i>",102,8,2,4
"<i>Festuca gigantea</i>",2,0,0,0
"<i>Galium palustre</i>",7,1,1,0
"<i>Gnaphalium sylvaticum</i>",1,1,0,1
"<i>Gnaphalium uliginosum</i>",7,0,0,0
"<i>Holcus lanatus</i>",3,1,1,0
"<i>Hypericum humifusum</i>",15,8,16,2
"<i>Hypericum perforatum</i>",1,1,3,0
"<i>Hypericum pulchrum</i>",0,1,0,0
"<i>Hypericum tetrapterum</i>",14,4,50,1
"<i>Juncus articulatus</i>",365,33,63,53
"<i>Juncus bufonius</i>",7,0,0,0
"<i>Juncus bulbosus</i>",129,56,66,1
"<i>Juncus effusus</i>",8172,8552,594,260
"<i>Juncus squarrosus</i>",4,0,1,1
"<i>Lotus corniculatus var corniculatus</i>",8,4,0,0
"<i>Luzula luzuloides</i>",0,0,1,0
"<i>Luzula multiflora</i>",2,4,0,0
"<i>Luzula pilosa</i>",3,3,4,3
"<i>Lysimachia nemorum</i>",4,8,1,7
"<i>Lythrum salicaria</i>",0,1,0,0
"<i>Mentha arvensis</i>",0,1,0,0
"<i>Milium effusum</i>",6,2,13,8
"<i>Moehringia trinervia</i>",1,1,0,2
"<i>Plantago major</i>",0,2,0,0
"<i>Poa annua</i>",0,0,0,1
"<i>Polygonum lapathifolium</i>",0,0,0,1
"<i>Potentilla erecta</i>",1,0,0,0
"<i>Ranunculus repens</i>",10,1,1,1
"<i>Rubus fruticosus</i>",36,15,4,3
"<i>Rubus idaeus</i>",120,79,24,21
"<i>Rumex sanguineus</i>",0,0,1,0
"<i>Sambucus nigra</i>",1,0,0,0
"<i>Scirpus setaceus</i>",96,2,15,10
"<i>Scrophularia nodosa</i>",7,0,4,0
"<i>Stachys sylvatica</i>",0,1,1,4
"<i>Stellaria holostea</i>",0,2,0,0
"<i>Stellaria uliginosa</i>",1,0,0,0
"<i>Typha latifolia</i>",0,0,2,0
"<i>Unknown spp 1</i>",0,0,1,0
"<i>Urtica dioica</i>",11,5,0,10
"<i>Veronica officinalis</i>",2,29,2,1
